NOMBRE DEL CANDIDATO,NOMBRE PARTIDO, MONTO 
LEONARDO ANDRES ASTETE MELIVILU,PARTIDO DE LA GENTE," 1,523,200 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 100,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 500,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 100,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 10,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 10,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 20,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 10,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 250,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 50,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 75,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 20,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 40,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 150,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 15,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 200,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 5,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 120,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 20,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 15,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 50,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 5,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 20,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 500,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 50,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 300,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 500,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 650,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 50,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 200,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 10,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 35,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 20,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 100,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 5,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 20,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 15,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 5,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 25,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 7,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 20,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 200,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 20,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 10,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 1,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 400,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 200,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 1,900,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 10,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 353,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 500,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 5,341,236 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 15,000,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 500,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 150,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 10,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 10,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 50,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 30,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 50,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 100,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 10,000 "
LEONARDO ANDRES JOFRE RIOS,CONVERGENCIA SOCIAL," 500,000 "
LEONARDO BAñO OYARCE,FEDERACION REGIONALISTA VERDE SOCIAL," 5,000 "
LEONARDO BAñO OYARCE,FEDERACION REGIONALISTA VERDE SOCIAL," 10,000 "
LEONARDO BAñO OYARCE,FEDERACION REGIONALISTA VERDE SOCIAL," 10,000 "
LEONARDO BAñO OYARCE,FEDERACION REGIONALISTA VERDE SOCIAL," 100,000 "
LEONARDO BAñO OYARCE,FEDERACION REGIONALISTA VERDE SOCIAL," 50,000 "
LEONARDO BAñO OYARCE,FEDERACION REGIONALISTA VERDE SOCIAL," 144,802 "
LEONARDO BAñO OYARCE,FEDERACION REGIONALISTA VERDE SOCIAL," 1,000,000 "
LEONARDO BAñO OYARCE,FEDERACION REGIONALISTA VERDE SOCIAL," 3,150,000 "
LEONARDO BORQUEZ CASTILLO,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA," 400,000 "
LEONARDO BORQUEZ CASTILLO,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA," 400,000 "
LEONARDO BORQUEZ CASTILLO,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA," 300,000 "
LEONARDO BORQUEZ CASTILLO,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA," 1,538,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 5,715 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 480,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 344,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 1,000,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 750,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 60,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 100,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 200,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 1,755,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 300,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 800,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 60,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 30,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 271,186 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 357,000 "
LEONARDO BRUNO CONTRERAS NEIRA,RENOVACION NACIONAL," 1,500,000 "
LEONARDO CRISTIAN CARIS FUENTES,CONVERGENCIA SOCIAL," 200,000 "
LEONARDO DANTE SOLARI ALCOTA,PARTIDO REPUBLICANO DE CHILE," 20,000 "
LEONARDO DANTE SOLARI ALCOTA,PARTIDO REPUBLICANO DE CHILE," 871,505 "
LEONARDO DANTE SOLARI ALCOTA,PARTIDO REPUBLICANO DE CHILE, - 
LEONARDO DANTE SOLARI ALCOTA,PARTIDO REPUBLICANO DE CHILE, - 
LEONARDO DANTE SOLARI ALCOTA,PARTIDO REPUBLICANO DE CHILE, - 
LEONARDO DANTE SOLARI ALCOTA,PARTIDO REPUBLICANO DE CHILE, - 
LEONARDO DANTE SOLARI ALCOTA,PARTIDO REPUBLICANO DE CHILE, - 
LEONARDO DANTE SOLARI ALCOTA,PARTIDO REPUBLICANO DE CHILE," 1,297,991 "
LEONARDO DANTE SOLARI ALCOTA,PARTIDO REPUBLICANO DE CHILE," 10,070,000 "
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE," 217,770 "
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE, - 
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE," 30,000 "
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE," 30,000 "
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE," 30,000 "
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE," 30,000 "
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE," 250,000 "
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE," 30,000 "
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE," 30,000 "
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE," 30,000 "
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE," 135,000 "
LEONARDO DAVID MARTINEZ VIVEROS,PARTIDO DE LA GENTE," 410,100 "
LEONARDO FERNANDO AHUMADA CASTRO,PARTIDO DEMOCRATA CRISTIANO," 800,000 "
LEONARDO JAVIER PALAPE PALAPE,PARTIDO COMUNISTA DE CHILE," 400,000 "
LEONARDO JAVIER PALAPE PALAPE,PARTIDO COMUNISTA DE CHILE," 60,000 "
LEONARDO JAVIER PALAPE PALAPE,PARTIDO COMUNISTA DE CHILE," 180,000 "
LEONARDO JAVIER PALAPE PALAPE,PARTIDO COMUNISTA DE CHILE," 370,000 "
LEONARDO JAVIER PALAPE PALAPE,PARTIDO COMUNISTA DE CHILE," 550,000 "
LEONARDO JAVIER PALAPE PALAPE,PARTIDO COMUNISTA DE CHILE," 380,000 "
LEONARDO JAVIER PALAPE PALAPE,PARTIDO COMUNISTA DE CHILE, - 
LEONARDO MILENKO ACUñA MONTEALEGRE,PARTIDO COMUNISTA DE CHILE," 262,500 "
LEONARDO MILENKO ACUñA MONTEALEGRE,PARTIDO COMUNISTA DE CHILE," 120,000 "
